rally,round,team,receive_location,digger_location,pass_land_location,hitter_location,hit_land_location,pass_rating,set_type,set_location,hit_type,hit_type,num_blockers,block_touch,serve_type,win_reason,lose_reason,winning_team,Game ID,end_of_rally,Score_TeamA,Score_TeamB,Set_Number,score_margin,points_to_win_A,points_to_win_B,prev_set_location,streak_A,streak_B,pass_quality,from_service_or_attack,set_loc
36,3,1,15,14,14,11,1,1,1,oppo,hit,1,1,no,,,,a,1,FALSE,19,16,1,3,6,9,2,0,1,3,0,3
152,1,1,9,15,13,11,1,1,1,oppo,hit,1,2,no,jump,kill,kill,a,1,TRUE,11,4,4,7,14,21,0,1,0,3,1,3
47,2,2,13,13,8,11,1,0,0,oppo,hit,1,2,no,,,,b,1,FALSE,2,1,2,1,23,24,1,0,1,2,0,3
35,2,1,9,9,10,11,1,0,0,oppo,off_speed,2,1,no,,,,b,1,FALSE,19,15,1,4,6,10,1,1,0,2,0,3
58,1,2,2,2,13,14,1,1,1,quick,hit,1,1,no,jump,kill,kill,b,1,TRUE,6,9,2,-3,19,16,1,0,1,3,1,2
45,1,1,3,3,13,14,1,1,1,bic,hit,1,2,no,jump,,,a,1,FALSE,1,0,2,1,24,25,2,2,0,3,1,4
125,1,2,3,3,13,15,1,1,1,outside,hit,1,2,no,jump,kill,kill,b,1,TRUE,18,17,3,1,7,8,0,0,1,3,1,1
31,2,2,9,8,6,8,2,0,0,quick,hit,1,3,no,,,,b,1,FALSE,17,13,1,4,8,12,2,0,1,2,0,2
82,1,2,10,4,12,11,2,1,1,oppo,hit,1,2,yes,jump,,,a,1,FALSE,19,19,2,0,6,6,0,1,0,3,1,3
137,1,1,3,3,13,11,2,1,1,oppo,hit,1,2,no,jump,kill,kill,a,1,TRUE,25,22,3,3,0,3,3,1,0,3,1,3
182,1,1,2,2,11,11,2,1,1,oppo,hit,1,2,no,jump,kill,kill,a,1,TRUE,2,1,5,1,23,24,0,1,0,2,1,3
48,4,2,11,11,13,13,2,1,1,bic,off_speed,2,2,no,,,,b,1,FALSE,2,2,2,0,23,23,1,0,2,3,0,4
25,1,2,4,5,13,14,2,1,1,quick,hit,1,2,no,jump,kill,kill,b,1,TRUE,13,12,1,1,12,13,2,0,1,3,1,2
144,1,1,4,4,13,14,2,1,1,quick,hit,1,2,no,jump,kill,kill,a,1,TRUE,6,1,4,5,19,24,2,1,0,3,1,2
2,1,2,3,3,13,14,2,1,1,quick,off_speed,2,2,no,jump,kill,kill,b,1,TRUE,1,1,1,0,24,24,3,0,1,3,1,2
98,1,1,7,7,13,15,2,1,1,outside,blocked,0,2,yes,float,kill,kill,b,1,TRUE,3,5,3,-2,22,20,0,0,2,3,1,1
154,2,2,9,9,13,15,2,1,1,outside,hit,1,2,yes,,,,b,1,FALSE,11,5,4,6,14,20,1,0,1,3,0,1
184,1,1,7,7,12,15,2,1,1,outside,hit,1,2,no,float,kill,kill,a,1,TRUE,3,2,5,1,22,23,0,1,0,3,1,1
64,1,1,8,7,9,15,2,0,0,outside,hit,1,2,yes,float,,,a,1,FALSE,8,12,2,-4,17,13,1,0,1,2,1,1
34,6,2,4,3,13,11,3,1,1,oppo,hit,1,2,no,,,,a,1,FALSE,18,15,1,3,7,10,1,0,1,3,0,3
63,1,2,2,2,12,11,3,1,1,oppo,hit,1,2,no,jump,,,b,1,FALSE,8,11,2,-3,17,14,0,1,0,3,1,3
15,2,2,8,8,12,11,3,1,1,d-ball,hit,1,2,no,,kill,kill,b,1,TRUE,7,8,1,-1,18,17,3,0,2,3,0,5
